,params,mean_fit_time,std_fit_time,mean_score_time,std_score_time,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,param_f_select__percentile,param_model__regressor__max_depth,param_model__regressor__max_features,param_model__regressor__n_estimators,param_scaler__quantile_range
0,"{'f_select__percentile': 0.9809574739014448, 'model__regressor__max_depth': 17, 'model__regressor__max_features': 0.25, 'model__regressor__n_estimators': 74, 'scaler__quantile_range': (1, 99)}",2.2633764911442995,0.13033896505475223,0.06729352809488773,0.022766949634708794,-1.2983561939385937,-1.3115410836578048,-1.3173956864253935,-1.3194051829479976,-1.29991074151048,-1.3093223028947918,0.008724637954081061,18,0.9809574739014448,17,0.25,74,"(1, 99)"
1,"{'f_select__percentile': 99.4105534481787, 'model__regressor__max_depth': 10, 'model__regressor__max_features': 0.25, 'model__regressor__n_estimators': 55, 'scaler__quantile_range': (10, 90)}",50.449602043628694,0.9223372748264633,0.04626069813966751,0.003593707269789839,-1.052051653148954,-1.0540051330159412,-1.0732979330363421,-1.0564810829569864,-1.052352601610365,-1.057637975696468,0.007986518541496653,10,99.4105534481787,10,0.25,55,"(10, 90)"
2,"{'f_select__percentile': 41.54453296062245, 'model__regressor__max_depth': 13, 'model__regressor__max_features': 0.25, 'model__regressor__n_estimators': 77, 'scaler__quantile_range': (0.1, 99.9)}",39.38811888992787,1.4823551407162439,0.07283101789653301,0.012867519058671237,-1.0542451857870376,-1.0555344979261665,-1.0798829014487044,-1.0486923117191116,-1.0582403515006138,-1.0593191098748969,0.010743015900910532,11,41.54453296062245,13,0.25,77,"(0.1, 99.9)"
3,"{'f_select__percentile': 82.35979220865279, 'model__regressor__max_depth': 17, 'model__regressor__max_features': 0.25, 'model__regressor__n_estimators': 66, 'scaler__quantile_range': (10, 90)}",83.94432375002653,2.7268184226837326,0.09472298324108124,0.01265947522350629,-1.0124507321229435,-1.0171376381214547,-1.031254149753856,-1.0067383229623967,-1.015489151637055,-1.0166140616935397,0.008133306413355424,2,82.35979220865279,17,0.25,66,"(10, 90)"
4,"{'f_select__percentile': 39.93442559375653, 'model__regressor__max_depth': 10, 'model__regressor__max_features': 0.25, 'model__regressor__n_estimators': 50, 'scaler__quantile_range': (0.5, 99.5)}",20.476425811089577,0.6278758248220259,0.04970140717923641,0.007652547750561073,-1.1002255476591307,-1.1030116709894358,-1.1221822273025615,-1.0939746725944621,-1.116870756798704,-1.1072524383323372,0.010574274423725803,15,39.93442559375653,10,0.25,50,"(0.5, 99.5)"
5,"{'f_select__percentile': 80.79168815164458, 'model__regressor__max_depth': 10, 'model__regressor__max_features': 0.25, 'model__regressor__n_estimators': 79, 'scaler__quantile_range': (10, 90)}",71.03991324361414,2.00830373660933,0.0749874772503972,0.01312533955161984,-1.0478636580984182,-1.05087286529971,-1.0703024244553263,-1.0580917613201992,-1.0492851176181326,-1.055283500089522,0.00829399688278766,9,80.79168815164458,10,0.25,79,"(10, 90)"
6,"{'f_select__percentile': 33.434907709289476, 'model__regressor__max_depth': 17, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 82, 'scaler__quantile_range': (10, 90)}",168.53671497758478,6.472416830736342,0.0985565973445773,0.011163367357146207,-1.0436532222530275,-1.0369761369354915,-1.0605429513456517,-1.0387480522603305,-1.0522536484275316,-1.0464344775138867,0.008822706783822729,7,33.434907709289476,17,auto,82,"(10, 90)"
7,"{'f_select__percentile': 99.08723534358018, 'model__regressor__max_depth': 21, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 85, 'scaler__quantile_range': (10, 90)}",479.18752803783866,21.63095004665049,0.13349136617034674,0.0025004243859145557,-1.0103326186535486,-1.018554084147265,-1.0522376959547484,-1.0136399682006143,-1.0286518534720148,-1.0246830226107018,0.01510309850738976,3,99.08723534358018,21,auto,85,"(10, 90)"
8,"{'f_select__percentile': 2.0159528605525057, 'model__regressor__max_depth': 22, 'model__regressor__max_features': 0.25, 'model__regressor__n_estimators': 84, 'scaler__quantile_range': (0.1, 99.9)}",3.42933158762753,0.40991459917148065,0.14031659699976445,0.05723677939060967,-1.3810173189960147,-1.3884448670836187,-1.3913607242807475,-1.3857491802586301,-1.383849016018467,-1.3860843460668955,0.0035832447510181706,20,2.0159528605525057,22,0.25,84,"(0.1, 99.9)"
9,"{'f_select__percentile': 53.77784413632528, 'model__regressor__max_depth': 15, 'model__regressor__max_features': 0.25, 'model__regressor__n_estimators': 80, 'scaler__quantile_range': (0.1, 99.9)}",58.778031036630274,0.9616087297587106,0.12285478841513395,0.03334420568282946,-1.0088956350685725,-1.0163636635303326,-1.0301131839113575,-1.0134404751287553,-1.006300615875149,-1.0150232014542608,0.008314301653578927,1,53.77784413632528,15,0.25,80,"(0.1, 99.9)"
10,"{'f_select__percentile': 6.317831817914721, 'model__regressor__max_depth': 19, 'model__regressor__max_features': 0.25, 'model__regressor__n_estimators': 56, 'scaler__quantile_range': (0.5, 99.5)}",5.819243956729769,0.17488498578726883,0.10203888341784477,0.06368927127724887,-1.315885181349176,-1.3191177529361096,-1.319788712021852,-1.3362097512165225,-1.3009536030082658,-1.3183919732297233,0.011227483537223687,19,6.317831817914721,19,0.25,56,"(0.5, 99.5)"
11,"{'f_select__percentile': 97.74227922553858, 'model__regressor__max_depth': 13, 'model__regressor__max_features': 0.25, 'model__regressor__n_estimators': 52, 'scaler__quantile_range': (1, 99)}",58.95023856703192,4.483065392497726,0.08124572522938252,0.025798030767762273,-1.0271067289259235,-1.0356973300665526,-1.0505177389876856,-1.0306494250152844,-1.0263407746713817,-1.0340628304516568,0.008866901753768325,4,97.74227922553858,13,0.25,52,"(1, 99)"
