,params,mean_fit_time,std_fit_time,mean_score_time,std_score_time,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,param_f_select__percentile,param_model__regressor__max_depth,param_model__regressor__max_features,param_model__regressor__n_estimators,param_scaler__quantile_range
0,"{'f_select__percentile': 25.7198357883353, 'model__regressor__max_depth': 11, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 53, 'scaler__quantile_range': (10, 90)}",60.08890564329922,1.4900912870488683,0.0789795657619834,0.02271545543097891,-0.09818964118266868,-0.10393897731348983,-0.09663492684952629,-0.09811647897749683,-0.09793017674890518,-0.09896229828820002,0.0025520761409700415,12,25.7198357883353,11,auto,53,"(10, 90)"
1,"{'f_select__percentile': 4.495036874241887, 'model__regressor__max_depth': 15, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 89, 'scaler__quantile_range': (5, 95)}",22.197867738641797,0.6689974532202844,0.10426666624844075,0.051364094756524356,-0.11233634833750607,-0.11640811165652637,-0.10900330121646297,-0.10118863352533572,-0.11187798486466223,-0.11016339265887562,0.005070460100420474,19,4.495036874241887,15,auto,89,"(5, 95)"
2,"{'f_select__percentile': 12.00937031780821, 'model__regressor__max_depth': 17, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 82, 'scaler__quantile_range': (1, 99)}",53.55983652360737,1.4198733140143303,0.07180265076458454,0.021679665847788892,-0.10297770020388533,-0.105342397812597,-0.10232090051496827,-0.1006645863313291,-0.09980533188520727,-0.1022224212412815,0.0019279237556042057,16,12.00937031780821,17,auto,82,"(1, 99)"
3,"{'f_select__percentile': 10.54046037358657, 'model__regressor__max_depth': 18, 'model__regressor__max_features': 0.25, 'model__regressor__n_estimators': 97, 'scaler__quantile_range': (10, 90)}",14.632187346741556,0.4165893963426485,0.0798245821672026,0.007803967473972799,-0.10431835771554955,-0.10880333533228638,-0.09725580268934811,-0.10514383223257265,-0.10428554129776953,-0.10396169296382571,0.003742689970244012,18,10.54046037358657,18,0.25,97,"(10, 90)"
4,"{'f_select__percentile': 18.0038327871055, 'model__regressor__max_depth': 11, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 74, 'scaler__quantile_range': (10, 90)}",58.4007242301479,3.152769096700501,0.05737399272620678,0.016460569662837925,-0.09834454316225293,-0.10358669674272462,-0.0970106112644768,-0.10025967805003043,-0.09694288777201239,-0.09922909659944776,0.0024893334185823734,13,18.0038327871055,11,auto,74,"(10, 90)"
5,"{'f_select__percentile': 58.30843637592166, 'model__regressor__max_depth': 13, 'model__regressor__max_features': 0.25, 'model__regressor__n_estimators': 57, 'scaler__quantile_range': (0.1, 99.9)}",37.977846135012804,1.0295114823544778,0.10934328269213438,0.06746950776473713,-0.09207950434307118,-0.09560626214273446,-0.08868515299665314,-0.09062286120385206,-0.08981797596074287,-0.09136265583860709,0.0023927636832785067,1,58.30843637592166,13,0.25,57,"(0.1, 99.9)"
6,"{'f_select__percentile': 96.10898734692644, 'model__regressor__max_depth': 19, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 57, 'scaler__quantile_range': (0.1, 99.9)}",314.3695864830021,18.178111371977373,0.07809103085310198,0.013221978086675783,-0.09379005115774978,-0.098650173273497,-0.09132454353151814,-0.09364782512151099,-0.09253736782962654,-0.09399026595150535,0.0024936694632452317,7,96.10898734692644,19,auto,57,"(0.1, 99.9)"
7,"{'f_select__percentile': 7.693963881862064, 'model__regressor__max_depth': 16, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 54, 'scaler__quantile_range': (5, 95)}",24.146542214415966,1.0464634848439431,0.059510854404652494,0.024620316912959295,-0.09890808918919802,-0.10034624198069007,-0.09734390950809199,-0.09746858369554136,-0.0966124506094989,-0.09813603806935,0.0013323617081893219,11,7.693963881862064,16,auto,54,"(5, 95)"
8,"{'f_select__percentile': 22.94959281664555, 'model__regressor__max_depth': 17, 'model__regressor__max_features': 0.25, 'model__regressor__n_estimators': 88, 'scaler__quantile_range': (5, 95)}",28.528411732055247,0.463451421817205,0.08308100961148739,0.018544759170096865,-0.09691170477728178,-0.09866634651114208,-0.09360107168665412,-0.09523712216549253,-0.09410526587985296,-0.09570455812397667,0.0018671518630776565,8,22.94959281664555,17,0.25,88,"(5, 95)"
9,"{'f_select__percentile': 41.829086186136045, 'model__regressor__max_depth': 14, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 81, 'scaler__quantile_range': (0.5, 99.5)}",166.2786912208423,8.764568685885559,0.07363009303808213,0.009894160584026689,-0.09375073166307682,-0.09792616148759342,-0.09141665305960575,-0.09074031411447316,-0.09238015089926305,-0.09324312088515728,0.0025509252243041884,5,41.829086186136045,14,auto,81,"(0.5, 99.5)"
