,params,mean_fit_time,std_fit_time,mean_score_time,std_score_time,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,param_f_select__percentile,param_model__regressor__alpha,param_model__regressor__l1_ratio,param_scaler__quantile_range
76,"{'f_select__percentile': 19.908569172245283, 'model__regressor__alpha': 2.314304651556052, 'model__regressor__l1_ratio': 0.8427541173070179, 'scaler__quantile_range': (0.5, 99.5)}",4.995723719336093,3.809410587678188,0.4305462097749114,0.5258983781774182,-0.30578608880981867,-0.30578885721078997,-0.30578885721078997,-0.3057915119694775,-0.3057915119694775,-0.3057893653856865,2.0232927238221854e-06,13,19.908569172245283,2.314304651556052,0.8427541173070179,"(0.5, 99.5)"
77,"{'f_select__percentile': 55.675171884195606, 'model__regressor__alpha': 3.052113198835654, 'model__regressor__l1_ratio': 0.6112406941185116, 'scaler__quantile_range': (1, 99)}",4.075393085181713,1.6946976623991648,0.19211169937625527,0.09544381454362307,-0.30578608880981867,-0.30578885721078997,-0.30578885721078997,-0.3057915119694775,-0.3057915119694775,-0.3057893653856865,2.0232927238221854e-06,13,55.675171884195606,3.052113198835654,0.6112406941185116,"(1, 99)"
78,"{'f_select__percentile': 17.507986538344934, 'model__regressor__alpha': 2.852677337186512, 'model__regressor__l1_ratio': 0.3494082998456738, 'scaler__quantile_range': (0.5, 99.5)}",4.231456767767668,2.212788152524884,0.6236549014225602,0.8872376067093629,-0.30578608880981867,-0.30578885721078997,-0.30578885721078997,-0.3057915119694775,-0.3057915119694775,-0.3057893653856865,2.0232927238221854e-06,13,17.507986538344934,2.852677337186512,0.3494082998456738,"(0.5, 99.5)"
79,"{'f_select__percentile': 84.69215514178259, 'model__regressor__alpha': 4.44329546109102, 'model__regressor__l1_ratio': 0.9649178204577734, 'scaler__quantile_range': (1, 99)}",3.9287727911025287,1.6885108265483475,0.20542953237891198,0.07883059381937553,-0.30578608880981867,-0.30578885721078997,-0.30578885721078997,-0.3057915119694775,-0.3057915119694775,-0.3057893653856865,2.0232927238221854e-06,13,84.69215514178259,4.44329546109102,0.9649178204577734,"(1, 99)"
80,"{'f_select__percentile': 60.59742036693685, 'model__regressor__alpha': 3.698435864451062, 'model__regressor__l1_ratio': 0.903072826248023, 'scaler__quantile_range': (0.1, 99.9)}",6.179648673254997,4.371655395190502,0.20995068904012443,0.021367390792662623,-0.30578608880981867,-0.30578885721078997,-0.30578885721078997,-0.3057915119694775,-0.3057915119694775,-0.3057893653856865,2.0232927238221854e-06,13,60.59742036693685,3.698435864451062,0.903072826248023,"(0.1, 99.9)"
81,"{'f_select__percentile': 44.918585753196716, 'model__regressor__alpha': 2.271617215816761, 'model__regressor__l1_ratio': 0.13914278331582186, 'scaler__quantile_range': (5, 95)}",4.061529225669801,1.6376828777578298,0.2646997841075063,0.19441032534401098,-0.30578608880981867,-0.30578885721078997,-0.30578885721078997,-0.3057915119694775,-0.3057915119694775,-0.3057893653856865,2.0232927238221854e-06,13,44.918585753196716,2.271617215816761,0.13914278331582186,"(5, 95)"
82,"{'f_select__percentile': 25.14733697451964, 'model__regressor__alpha': 2.4061101809394634, 'model__regressor__l1_ratio': 0.703621978685589, 'scaler__quantile_range': (0.5, 99.5)}",3.9787759575992823,1.8309845905813185,0.6028225222602487,0.8985573638765676,-0.30578608880981867,-0.30578885721078997,-0.30578885721078997,-0.3057915119694775,-0.3057915119694775,-0.3057893653856865,2.0232927238221854e-06,13,25.14733697451964,2.4061101809394634,0.703621978685589,"(0.5, 99.5)"
83,"{'f_select__percentile': 71.04106002724205, 'model__regressor__alpha': 1.8024058705627866, 'model__regressor__l1_ratio': 0.3364610391235954, 'scaler__quantile_range': (0.5, 99.5)}",3.316927856206894,0.8484160343807567,0.2102559195831418,0.1044231493859809,-0.30578608880981867,-0.30578885721078997,-0.30578885721078997,-0.3057915119694775,-0.3057915119694775,-0.3057893653856865,2.0232927238221854e-06,13,71.04106002724205,1.8024058705627866,0.3364610391235954,"(0.5, 99.5)"
84,"{'f_select__percentile': 99.68877581382756, 'model__regressor__alpha': 2.126463576246284, 'model__regressor__l1_ratio': 0.06666117567786056, 'scaler__quantile_range': (0.1, 99.9)}",5.616159919276834,2.5873733475417247,0.19488264629617333,0.06828462726126165,-0.30578608880981867,-0.30578885721078997,-0.30578885721078997,-0.3057915119694775,-0.3057915119694775,-0.3057893653856865,2.0232927238221854e-06,13,99.68877581382756,2.126463576246284,0.06666117567786056,"(0.1, 99.9)"
85,"{'f_select__percentile': 39.08272113397313, 'model__regressor__alpha': 1.043975867983789, 'model__regressor__l1_ratio': 0.7831207157260022, 'scaler__quantile_range': (5, 95)}",3.5009027615655213,1.9263156687730008,0.4674863535910845,0.7022624736365675,-0.30578608880981867,-0.30578885721078997,-0.30578885721078997,-0.3057915119694775,-0.3057915119694775,-0.3057893653856865,2.0232927238221854e-06,13,39.08272113397313,1.043975867983789,0.7831207157260022,"(5, 95)"
