,params,mean_fit_time,std_fit_time,mean_score_time,std_score_time,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,param_f_select__percentile,param_model__regressor__max_depth,param_model__regressor__max_features,param_model__regressor__n_estimators,param_scaler__quantile_range
0,"{'f_select__percentile': 48.10604808048793, 'model__regressor__max_depth': 19, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 66, 'scaler__quantile_range': (1, 99)}",677.6872535408096,15.530107015276261,0.2420220635831356,0.0401562703549896,-1.9809459884797294,-1.9906371421740663,-1.9910695586037384,-1.9810541950534841,-1.974959597593114,-1.9837335381643115,0.0062194464798273445,2,48.10604808048793,19,auto,66,"(1, 99)"
1,"{'f_select__percentile': 47.69236766695174, 'model__regressor__max_depth': 21, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 86, 'scaler__quantile_range': (0.5, 99.5)}",941.8525023817434,16.377593802978772,0.33413108587265017,0.11456427901811031,-1.9858716111496182,-1.9855141199606139,-1.9862834380661147,-1.9557311154485064,-1.9634667396900656,-1.97537407090239,0.013112162873063484,1,47.69236766695174,21,auto,86,"(0.5, 99.5)"
2,"{'f_select__percentile': 47.51509401398364, 'model__regressor__max_depth': 13, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 92, 'scaler__quantile_range': (1, 99)}",725.2236875904812,24.623360247709982,0.19100216990336777,0.019223772423867122,-2.016519487896213,-2.009025069691805,-2.0161244619041,-1.9942181068452183,-1.9914614696111566,-2.00547025245819,0.010687200936872992,9,47.51509401398364,13,auto,92,"(1, 99)"
3,"{'f_select__percentile': 71.78548290562694, 'model__regressor__max_depth': 19, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 56, 'scaler__quantile_range': (0.5, 99.5)}",884.5555952786963,37.39041126694981,2.2136692403350025,3.9297423270701577,-2.0044495845522405,-2.0050640762067196,-2.009933167540628,-1.9797307332936358,-1.986545902854523,-1.997145284275076,0.011791428934520027,7,71.78548290562694,19,auto,56,"(0.5, 99.5)"
4,"{'f_select__percentile': 7.713038205226386, 'model__regressor__max_depth': 24, 'model__regressor__max_features': 0.25, 'model__regressor__n_estimators': 96, 'scaler__quantile_range': (5, 95)}",46.40714177601039,13.391631399529611,0.2710149247199297,0.03271706167029768,-2.0764605900014494,-2.0610935509277324,-2.092216478673356,-2.0486463256039724,-2.0469968877523015,-2.0650834954027704,0.017198034996955297,12,7.713038205226386,24,0.25,96,"(5, 95)"
5,"{'f_select__percentile': 6.484305755448483, 'model__regressor__max_depth': 10, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 83, 'scaler__quantile_range': (0.5, 99.5)}",97.65148642529093,27.52074071267189,2.211243242956698,4.1630572967957695,-2.4458808409405894,-2.410453517383461,-2.4147862539135296,-2.414897335942948,-2.4002487466057856,-2.417253747684576,0.015274704641546849,19,6.484305755448483,10,auto,83,"(0.5, 99.5)"
6,"{'f_select__percentile': 81.61629170052957, 'model__regressor__max_depth': 24, 'model__regressor__max_features': 0.25, 'model__regressor__n_estimators': 99, 'scaler__quantile_range': (1, 99)}",499.5909487762343,29.93916589882941,0.4211608434619848,0.12550222911451628,-1.9947564885525357,-1.9880150983467204,-1.9958563332447519,-1.9715171501555493,-1.9789556303853963,-1.9858205870104015,0.009349761915219974,4,81.61629170052957,24,0.25,99,"(1, 99)"
7,"{'f_select__percentile': 76.4303785317502, 'model__regressor__max_depth': 24, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 68, 'scaler__quantile_range': (10, 90)}",1339.9807456120557,72.75390115755725,0.3144811697304249,0.06277608168855868,-2.008928100244746,-2.001142290365007,-2.003392131846653,-1.9769300012203885,-1.9819055682844116,-1.9944602534975293,0.012638521816845301,6,76.4303785317502,24,auto,68,"(10, 90)"
8,"{'f_select__percentile': 0.26075130372120725, 'model__regressor__max_depth': 22, 'model__regressor__max_features': 0.25, 'model__regressor__n_estimators': 56, 'scaler__quantile_range': (10, 90)}",18.216921788579203,21.611523036301303,0.11460730846156367,0.008428823187066042,-2.5372446435718055,-2.5420476985816673,-2.5499263867437323,-2.548693773373189,-2.5418055676192357,-2.543943558832827,0.004720198415979051,20,0.26075130372120725,22,0.25,56,"(10, 90)"
9,"{'f_select__percentile': 93.3055622053601, 'model__regressor__max_depth': 17, 'model__regressor__max_features': 'auto', 'model__regressor__n_estimators': 50, 'scaler__quantile_range': (0.1, 99.9)}",943.9650112432428,65.29055367501043,0.2319038974121213,0.020743204700017722,-2.0213968720104623,-2.0235233538662327,-2.0139939700450977,-1.9924990573389603,-1.9962974075607847,-2.0095427715790906,0.01281953916735603,10,93.3055622053601,17,auto,50,"(0.1, 99.9)"
